logical_instance	family_display	family_key	parameters	status_120s	tlsf
amba_case_study_pb_2_pe_.ltl	amba_case_study	param:tlsf/amba/amba/parametric/amba_case_study.tlsf	{"n": 2}	solved	tlsf-corpus/amba_case_study_pb_2_pe_.tlsf
amba_case_study_pb_3_pe_.ltl	amba_case_study	param:tlsf/amba/amba/parametric/amba_case_study.tlsf	{"n": 3}	unsolved	tlsf-corpus/amba_case_study_pb_3_pe_.tlsf
amba_case_study_pb_4_pe_.ltl	amba_case_study	param:tlsf/amba/amba/parametric/amba_case_study.tlsf	{"n": 4}	unsolved	tlsf-corpus/amba_case_study_pb_4_pe_.tlsf
amba_case_study_unreal_pb_2_pe_.ltl	amba_case_study_unreal	param:tlsf/amba/amba/parametric/amba_case_study_unreal.tlsf	{"n": 2}	unsolved	tlsf-corpus/amba_case_study_unreal_pb_2_pe_.tlsf
amba_case_study_unreal_pb_3_pe_.ltl	amba_case_study_unreal	param:tlsf/amba/amba/parametric/amba_case_study_unreal.tlsf	{"n": 3}	unsolved	tlsf-corpus/amba_case_study_unreal_pb_3_pe_.tlsf
amba_case_study_unreal_pb_4_pe_.ltl	amba_case_study_unreal	param:tlsf/amba/amba/parametric/amba_case_study_unreal.tlsf	{"n": 4}	unsolved	tlsf-corpus/amba_case_study_unreal_pb_4_pe_.tlsf
amba_case_study_unreal_pb_5_pe_.ltl	amba_case_study_unreal	param:tlsf/amba/amba/parametric/amba_case_study_unreal.tlsf	{"n": 5}	unsolved	tlsf-corpus/amba_case_study_unreal_pb_5_pe_.tlsf
amba_decomposed_arbiter_pb_10_pe_.ltl	amba_decomposed_arbiter	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf	{"n": 10}	unsolved	tlsf-corpus/amba_decomposed_arbiter_pb_10_pe_.tlsf
amba_decomposed_arbiter_pb_11_pe_.ltl	amba_decomposed_arbiter	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf	{"n": 11}	unsolved	tlsf-corpus/amba_decomposed_arbiter_pb_11_pe_.tlsf
amba_decomposed_arbiter_pb_12_pe_.ltl	amba_decomposed_arbiter	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf	{"n": 12}	unsolved	tlsf-corpus/amba_decomposed_arbiter_pb_12_pe_.tlsf
amba_decomposed_arbiter_pb_13_pe_.ltl	amba_decomposed_arbiter	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf	{"n": 13}	unsolved	tlsf-corpus/amba_decomposed_arbiter_pb_13_pe_.tlsf
amba_decomposed_arbiter_pb_2_pe_.ltl	amba_decomposed_arbiter	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf	{"n": 2}	solved	tlsf-corpus/amba_decomposed_arbiter_pb_2_pe_.tlsf
amba_decomposed_arbiter_pb_3_pe_.ltl	amba_decomposed_arbiter	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf	{"n": 3}	solved	tlsf-corpus/amba_decomposed_arbiter_pb_3_pe_.tlsf
amba_decomposed_arbiter_pb_4_pe_.ltl	amba_decomposed_arbiter	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf	{"n": 4}	solved	tlsf-corpus/amba_decomposed_arbiter_pb_4_pe_.tlsf
amba_decomposed_arbiter_pb_5_pe_.ltl	amba_decomposed_arbiter	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf	{"n": 5}	solved	tlsf-corpus/amba_decomposed_arbiter_pb_5_pe_.tlsf
amba_decomposed_arbiter_pb_6_pe_.ltl	amba_decomposed_arbiter	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf	{"n": 6}	solved	tlsf-corpus/amba_decomposed_arbiter_pb_6_pe_.tlsf
amba_decomposed_arbiter_pb_7_pe_.ltl	amba_decomposed_arbiter	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf	{"n": 7}	unsolved	tlsf-corpus/amba_decomposed_arbiter_pb_7_pe_.tlsf
amba_decomposed_arbiter_pb_8_pe_.ltl	amba_decomposed_arbiter	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf	{"n": 8}	unsolved	tlsf-corpus/amba_decomposed_arbiter_pb_8_pe_.tlsf
amba_decomposed_arbiter_pb_9_pe_.ltl	amba_decomposed_arbiter	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_arbiter.tlsf	{"n": 9}	unsolved	tlsf-corpus/amba_decomposed_arbiter_pb_9_pe_.tlsf
amba_decomposed_encode_pb_10_pe_.ltl	amba_decomposed_encode	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	{"n": 10}	solved	tlsf-corpus/amba_decomposed_encode_pb_10_pe_.tlsf
amba_decomposed_encode_pb_11_pe_.ltl	amba_decomposed_encode	param:tlsf/amba/amba_decomposed/parametric/amba_decomposed_encode.tlsf	{"n": 11}	solved	tlsf-corpus/amba_decomposed_encode_pb_11_pe_.tlsf
